 Use Code,Use,TreatmentTherapeutic_Area
U-1761 ,plaque psoriasis,['DERMATOLOGY (109) ']
U-1796 ,topical treatment inflammatory papules pustules mild moderate rosacea,['DERMATOLOGY (109) ']
U-1727 ,topical treatment inflammatory papules pustules mild moderate rosacea,['DERMATOLOGY (109) ']
U-1841 ,"use long-term, maintenance treatment airflow obstruction patients chronic obstructive pulmonary disease (copd)",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1068 ,treatment asthma,['FAMILY MEDICINE (624) ']
U-2001 ,use treatment asthma patients 6 years age older,['FAMILY MEDICINE (624) ']
U-2002 ,use maintenance treatment chronic obstructive pulmonary disease,['FAMILY MEDICINE (624) ']
U-2122 ,use reducing exacerbations chronic obstructive pulmonary disease,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-636 ,treatment prevention bronchospasm asthmatic symptoms,['FAMILY MEDICINE (624) ']
U-1787 ,treatment exocrine pancreatic insufficiency,['GASTROENTEROLOGY (105) ']
U-949 ,healing grades erosive esophagitis (ee) 8 weeks,['GASTROENTEROLOGY (105) ']
U-950 ,maintain healing erosive esophagitis (ee) 6 months,['FAMILY MEDICINE (624) ']
U-951 ,treatment heartburn associated non-erosive gastroesophageal reflux disease (gerd) 4 weeks,['GASTROENTEROLOGY (105) ']
U-1507 ,maintain healing ee relief heartburn,['FAMILY MEDICINE (624) ']
U-1552 ,healing grades erosive esophagitis (ee),['FAMILY MEDICINE (624) ']
U-1553 ,maintain healing ee relief heartburn,['FAMILY MEDICINE (624) ']
U-1554 ,treatment heartburn associated symptomatic non-erosive gastroesophageal disease (gerd),['GASTROENTEROLOGY (105) ']
U-1805 ,use dexlansoprazole patients taking clopidogrel without meaningful cyp2c19 interactions,['FAMILY MEDICINE (624) ']
U-1399 ,management nephropathic cystinosis administering total daily dose two divided doses,['FAMILY MEDICINE (624) ']
U-1384 ,method treating multiple sclerosis,['MUSCULOSKELETAL (109) ']
U-1385 ,method treating autoimmune disease selected autoimmune polyarthritis multiple sclerosis treating psoriatic arthritis,['MUSCULOSKELETAL (109) ']
U-2357 ,method treating attention deficit hyperactivity disorder (adhd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-839 ,treatment major depressive disorder (mdd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2459 ,"treatment dyskinesia decreasing time patients parkinson's disease receiving levodopa-based therapy, without concomitant dopaminergic medications",['NEUROLOGY (189) ']
U-2105 ,"treatment dyskinesia patients parkinson's disease receiving immediate release levodopa-based therapy, without concomitant dopaminergic medications",['NEUROLOGY (189) ']
U-2106 ,"treatment dyskinesia patients parkinson's disease receiving levodopa-based therapy, without concomitant dopaminergic medications",['NEUROLOGY (189) ']
U-2224 ,"treatment dyskinesia increasing time without troublesome dyskinesia patients parkinson's disease receiving levodopa-based therapy, without concomitant dopaminergic medications",['NEUROLOGY (189) ']
U-2025 ,treatment attention deficit hyperactivity disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-539 ,treatment moderate severe dementia alzheimer's type,['NEUROLOGY (189) ']
U-1871 ,"treatment secondary hyperparathyroidism patients stage 3 4 chronic kidney disease using controlled release, oral 25-hydroxyvitamin",['NEPHROLOGY (88) ']
U-1872 ,use sustained release 25-hydroxyvitamin treating patients 25-hydroxyvitamin insufficiency deficiency,['ENDOCRINOLOGY (229) ']
U-1873 ,administration 25-hydroxyvitamin d3 controlled release,['FAMILY MEDICINE (624) ']
U-1888 ,use controlled release 25-hydroxyvitamin treating secondary hyperparathyroidism patients chronic kidney disease,['NEPHROLOGY (88) ']
U-1920 ,use extended release oral 25-hydroxyvitamin d3 treating secondary hyperparathyroidism adult patients chronic kidney disease stage 3 stage 4,['NEPHROLOGY (88) ']
U-2255 ,treating secondary hyperparathyroidism chronic kidney disease sustained release 25-hydroxyvitamin reduce patient's serum parathyroid hormone level sustained release least 10 hours,['NEPHROLOGY (88) ']
U-2256 ,"treating secondary hyperparathyroidism chronic kidney disease sustained release 25-hydroxyvitamin reduce patient's serum parathyroid hormone level cmax reduced compared bolus iv injection immediate-release, oral dosing",['NEPHROLOGY (88) ']
U-2257 ,"treating shpt ckd sustained release calcifediol reduce serum parathyroid hormone level change serum concentration calcifediol dose interval reduced compared bolus iv injection immediate-release, oral dosing",['ENDOCRINOLOGY (229) ']
U-2258 ,"treating secondary hyperparathyroidism ckd sustained release calcifediol reduce patient's serum parathyroid hormone level cmax24hr/c24hr reduced compared bolus iv injection immediate-release, oral dosing",['ENDOCRINOLOGY (229) ']
U-2259 ,"treating secondary hyperparathyroidism ckd sustained release calcifediol reduce patient's serum parathyroid hormone level tmax increased compared bolus iv injection immediate-release, oral dosing",['ENDOCRINOLOGY (229) ']
U-2274 ,"maintaining serum 25-hydroxyvitamin level least 30 ng/ml oral, sustained release 25-hydroxyvitamin",['FAMILY MEDICINE (624) ']
U-1645 ,"treatment parkinson's disease, post-encephalitic parkinsonism, parkinsonism may follow carbon monoxide intoxication manganese intoxication",['NEUROLOGY (189) ']
U-219 ,treatment parkinson's disease,['FAMILY MEDICINE (624) ']
U-1646 ,"treatment post-encephalitic parkinsonism, parkinsonism may follow carbon monoxide intoxication manganese intoxication",['FAMILY MEDICINE (624) ']
U-1647 ,treatment parkinsonism may follow carbon monoxide intoxication manganese intoxication,['FAMILY MEDICINE (624) ']
U-1649 ,treatment post-encephalitic parkinsonism,['FAMILY MEDICINE (624) ']
U-1720 ,method providing therapeutically effective stable median blood plasma level levodopa,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1508 ,"management pain severe enough require daily, around-the-clock, long term opioid treatment orally administering plurality composite subunits claimed",['NEUROLOGY (189) ']
U-1556 ,"management pain severe enough require daily, around-the-clock, long-term opioid treatment alternative treatment options inadequate",['NEUROLOGY (189) ']
U-2293 ,"use combination dexamethasone adults prevention acute delayed nausea vomiting associated initial repeat courses cancer chemotherapy, including, limited to, highly emetogenic chemotherapy",['ONCOLOGY (263) ']
U-717 ,method relieving preventing constipation human constipated patient,['GASTROENTEROLOGY (105) ']
