URL,Drug
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Xarelto (rivaroxaban); Janssen Pharmaceuticals;
                    To reduce the risk of major cardiovascular (CV) events in people with chronic coronary or peripheral artery disease, Approved October 2018"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Bevyxxa (betrixaban); Portola Pharmaceuticals;
                    For the the prophylaxis of venous thromboembolism, Approved June 2017"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Byvalson (nebivolol and valsartan); Allergan;
                    For the treatment of hypertension, Approved June 2016"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Yosprala (aspirin and omeprazole); Aralez Pharmaceuticals;
                    For the prevention of cardiovascular and cerebrovascular events, Approved September 2016"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Corlanor (ivabradine); Amgen;
                    For the treatment of chronic heart failure, Approved April 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Entresto (sacubitril and valsartan); Novartis;
                    For the treatment of chronic heart failure, Approved July 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Kanuma (sebelipase alfa); Alexion;
                    For the treatment of Lysosomal Acid Lipase (LAL) deficiency, Approved December 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Kengreal (cangrelor) ; The Medicines Company;
                    For reducing periprocedural thrombotic events, Approved June 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Praluent (alirocumab); Sanofi Aventis;
                    For the treatment of heterozygous familial hypercholesterolemia or atherosclerotic cardiovascular disease, Approved July 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Prestalia (perindopril arginine and amlodipine besylate); Symplmed Pharmaceuticals;
                    For the treatment of hypertension, Approved January 2015"
https://www.centerwatch.com/drug-information/fda-approved-drugs/therapeutic-area/1/cardiology-vascular-diseases,"Repatha (evolocumab) ; Amgen;
                    For the treatment of high cholesterol, Approved August 2015"
