Product_No,Appl_No,Appl_Type,URL
001,020571,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020571&Appl_type=N
001,020571,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020571&Appl_type=N
002,020571,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020571&Appl_type=N
002,020571,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020571&Appl_type=N
001,020610,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020610&Appl_type=N
001,020610,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020610&Appl_type=N
001,020629,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020629&Appl_type=N
001,020629,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020629&Appl_type=N
001,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020667&Appl_type=N
001,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020667&Appl_type=N
002,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020667&Appl_type=N
002,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020667&Appl_type=N
003,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=003&Appl_No=020667&Appl_type=N
003,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=003&Appl_No=020667&Appl_type=N
005,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=005&Appl_No=020667&Appl_type=N
005,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=005&Appl_No=020667&Appl_type=N
006,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=006&Appl_No=020667&Appl_type=N
006,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=006&Appl_No=020667&Appl_type=N
007,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=007&Appl_No=020667&Appl_type=N
007,020667,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=007&Appl_No=020667&Appl_type=N
001,020685,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020685&Appl_type=N
003,020685,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=003&Appl_No=020685&Appl_type=N
005,020685,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=005&Appl_No=020685&Appl_type=N
006,020685,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=006&Appl_No=020685&Appl_type=N
001,020723,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020723&Appl_type=N
001,020723,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020723&Appl_type=N
001,020727,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020727&Appl_type=N
001,020727,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020727&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
001,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=001&Appl_No=020785&Appl_type=N
002,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020785&Appl_type=N
002,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020785&Appl_type=N
002,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020785&Appl_type=N
002,020785,N,https://www.accessdata.fda.gov/scripts/cder/ob/patent_info.cfm?Product_No=002&Appl_No=020785&Appl_type=N
