 Use Code,Use
U-1761 ,PLAQUE PSORIASIS
U-1796 ,TOPICAL TREATMENT OF INFLAMMATORY PAPULES AND PUSTULES OF MILD TO MODERATE ROSACEA
U-1727 ,TOPICAL TREATMENT OF INFLAMMATORY PAPULES AND PUSTULES OF MILD TO MODERATE ROSACEA
U-1841 ,"USE IN THE LONG-TERM, MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)"
U-1068 ,TREATMENT OF ASTHMA
U-2001 ,USE FOR THE TREATMENT OF ASTHMA IN PATIENTS 6 YEARS OF AGE AND OLDER
U-2002 ,USE FOR MAINTENANCE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE
U-2122 ,USE FOR REDUCING EXACERBATIONS OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE
U-636 ,TREATMENT OR PREVENTION OF BRONCHOSPASM OR ASTHMATIC SYMPTOMS
U-1787 ,TREATMENT OF EXOCRINE PANCREATIC INSUFFICIENCY
U-949 ,HEALING OF ALL GRADES OF EROSIVE ESOPHAGITIS (EE) FOR UP TO 8 WEEKS
U-950 ,MAINTAIN HEALING OF EROSIVE ESOPHAGITIS (EE) FOR UP TO 6 MONTHS
U-951 ,TREATMENT OF HEARTBURN ASSOCIATED WITH NON-EROSIVE GASTROESOPHAGEAL REFLUX DISEASE (GERD) FOR 4 WEEKS
U-1507 ,TO MAINTAIN HEALING OF EE AND RELIEF OF HEARTBURN
U-1552 ,FOR HEALING OF ALL GRADES OF EROSIVE ESOPHAGITIS (EE)
U-1553 ,TO MAINTAIN HEALING OF EE AND RELIEF OF HEARTBURN
U-1554 ,FOR THE TREATMENT OF HEARTBURN ASSOCIATED WITH SYMPTOMATIC NON-EROSIVE GASTROESOPHAGEAL DISEASE (GERD)
U-1805 ,USE OF DEXLANSOPRAZOLE IN PATIENTS TAKING CLOPIDOGREL WITHOUT MEANINGFUL CYP2C19 INTERACTIONS
U-1399 ,MANAGEMENT OF NEPHROPATHIC CYSTINOSIS BY ADMINISTERING A TOTAL DAILY DOSE IN TWO DIVIDED DOSES
U-1384 ,METHOD OF TREATING MULTIPLE SCLEROSIS
U-1385 ,METHOD OF TREATING AN AUTOIMMUNE DISEASE SELECTED FROM AUTOIMMUNE POLYARTHRITIS AND MULTIPLE SCLEROSIS BUT NOT TREATING PSORIATIC ARTHRITIS
U-2357 ,METHOD OF TREATING ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
U-839 ,TREATMENT OF MAJOR DEPRESSIVE DISORDER (MDD)
U-2459 ,"TREATMENT OF DYSKINESIA AND DECREASING OFF TIME IN PATIENTS WITH PARKINSON'S DISEASE RECEIVING LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS"
